id, "datestr","url"
85, "26 June 2003", "https://www.who.int/csr/sars/country/2003_06_26/en/"
86, "27 June 2003", "https://www.who.int/csr/sars/country/2003_06_27/en/"
87, "30 June 2003", "https://www.who.int/csr/sars/country/2003_06_30/en/"
88, "1 July 2003", "https://www.who.int/csr/sars/country/2003_07_01/en/"
89, "2 July 2003", "https://www.who.int/csr/sars/country/2003_07_02/en/"
90, "3 July 2003", "https://www.who.int/csr/sars/country/2003_07_03/en/"
91, "4 July 2003", "https://www.who.int/csr/sars/country/2003_07_04/en/"
92, "7 July 2003", "https://www.who.int/csr/sars/country/2003_07_07/en/"
93, "8 July 2003", "https://www.who.int/csr/sars/country/2003_07_08/en/"
94, "9 July 2003", "https://www.who.int/csr/sars/country/2003_07_09/en/"
95, "10 July 2003", "https://www.who.int/csr/sars/country/2003_07_10/en/"
96, "11 July 2003", "https://www.who.int/csr/sars/country/2003_07_11/en/"
97, "15 August 2003", "https://www.who.int/csr/sars/country/2003_08_15/en/"
98, "26 September 2003", "https://www.who.int/csr/sars/country/table2003_09_23/en/"
99, "21 April 2004", "https://www.who.int/csr/sars/country/table2004_04_21/en/"
