"Country ","Cumulative number of case(s) ","Number of new cases since last WHO update ","Final Status ","Local chain(s) of transmission 3 "
"Number of deaths","Number recovered","undefined","undefined","undefined"
"Brazil "," 2","0","0"," 0"
"Canada "," 98","1","10","25"
"China "," 1309","19","58"," 1037"
"China, Hong Kong Special Administrative Region 4"," 1059","61","32"," 169"
"China, Taiwan"," 21"," 2","0"," 6"
"France "," 5"," 1","0"," 0"
"Germany "," 6"," 0","0"," 4"
"Italy "," 3"," 0","0","2"
"Japan","4","4","0","0"
"Kuwait"," 1"," 0","0"," 0"
"Malaysia "," 4"," 1","1"," 0"
"Republic of Ireland "," 1"," 0","0"," 1"
"Romania "," 1"," 0","0"," not available"
"Singapore "," 133","7","9"," 77"
"South Africa","1","1","0","0"
"Spain "," 1"," 0","0"," 0"
"Switzerland "," 1"," 0","0"," 1"
"Thailand "," 7"," 0","2"," 5"
"United Kingdom "," 5"," 0","0"," 3"
"United States "," 166","12","0"," not available"
"Viet Nam "," 62"," 0","4"," 43"
"Total ","2890 ","109 ","116","1373 "
